Mega Market,Posting Period,2016  Quantity,2017  Quantity,2018  Quantity,2019  Quantity,2020  Quantity,2021  PxQ Quantity
APAC,1,,"23,026","20,881","37,470","22,465","52,384"
APAC,2,,"21,814","22,065","26,408","21,734","49,245"
APAC,3,,"22,512","22,108","35,677","27,049","50,267"
APAC,4,,"27,275","24,193","33,076","31,953","54,770"
APAC,5,,"26,827","36,048","41,930","39,489","61,259"
APAC,6,,"18,282","30,289","39,559","53,309","74,541"
APAC,7,"24,248","21,485","26,061","28,007","64,729",
APAC,8,"30,814","26,941","27,560","25,244","70,658",
APAC,9,"36,251","25,360","29,134","39,166","56,863",
APAC,10,"34,983","25,939","36,144","33,084","77,584",
APAC,11,"39,170","44,246","49,087","49,489","90,682",
APAC,12,"33,888","38,845","46,107","50,563","107,164",
Europe,1,,"69,448","31,153","41,766","39,864","76,908"
Europe,2,,"42,497","32,212","39,699","39,866","70,371"
Europe,3,,"50,357","53,273","47,930","38,992","88,255"
Europe,4,,"56,338","29,535","50,685","32,396","91,890"
Europe,5,,"50,672","27,224","36,579","44,624","103,798"
Europe,6,,"41,459","39,327","36,472","61,205","130,519"
Europe,7,"28,129","37,388","29,352","30,805","56,065",
Europe,8,"26,711","38,566","21,922","29,115","48,284",
Europe,9,"31,517","44,268","21,647","70,389","90,023",
Europe,10,"37,503","60,377","58,412","121,421","108,622",
Europe,11,"42,356","115,438","72,284","100,119","104,936",
Europe,12,"38,623","92,529","71,174","71,579","99,233",
Greater China,1,,"25,712","9,102","18,508","35,639","35,862"
Greater China,2,,"23,908","7,961","10,726","20,289","13,432"
Greater China,3,,"19,311","11,340","26,853","26,121","16,584"
Greater China,4,,"23,172","13,327","20,369","28,437","22,977"
Greater China,5,,"32,605","5,199","33,610","43,826","15,247"
Greater China,6,,"24,158","13,256","17,902","18,132","20,926"
Greater China,7,"27,544","18,990","5,911","12,195","18,199",
Greater China,8,"34,285","11,811","14,665","11,194","22,428",
Greater China,9,"44,457","31,456","27,926","25,047","37,626",
Greater China,10,"31,886","28,133","26,446","19,652","17,371",
Greater China,11,"41,974","12,494","6,114","44,701","13,488",
Greater China,12,"44,753","10,478","7,047","40,999","14,450",
Middle East Turkey and Africa,1,,"22,335","2,270","36,302","31,984","43,315"
Middle East Turkey and Africa,2,,"31,805","2,663","64,370","49,971","60,971"
Middle East Turkey and Africa,3,,"33,098","4,582","24,505","12,067","42,262"
Middle East Turkey and Africa,4,,"25,362","2,450","11,820","3,539","15,839"
Middle East Turkey and Africa,5,,"25,730","5,726","9,980","12,540","25,634"
Middle East Turkey and Africa,6,,"10,968","3,967","23,113","10,251","33,577"
Middle East Turkey and Africa,7,"10,749","12,161","4,078","11,631","13,297",
Middle East Turkey and Africa,8,"13,599","13,720","2,644","43,670","26,274",
Middle East Turkey and Africa,9,"16,249","21,659","4,639","38,773","22,370",
Middle East Turkey and Africa,10,"13,146","12,763","8,730","11,144","20,600",
Middle East Turkey and Africa,11,"21,587","14,536","4,454","17,561","34,240",
Middle East Turkey and Africa,12,"23,758","27,363","8,219","23,938","37,002",
Central Eastern Europe and Russia,1,,"1,233",491,990,"1,519","7,588"
Central Eastern Europe and Russia,2,,"1,533","-1,693","1,339","1,242","5,760"
Central Eastern Europe and Russia,3,,"1,480",-574,"2,085","1,962","5,531"
Central Eastern Europe and Russia,4,,906,445,"1,109","1,059","7,301"
Central Eastern Europe and Russia,5,,762,941,774,"1,893","4,610"
Central Eastern Europe and Russia,6,,904,412,"1,118","2,334","8,384"
Central Eastern Europe and Russia,7,765,923,441,"1,155","1,442",
Central Eastern Europe and Russia,8,857,"1,000",627,"1,616","1,783",
Central Eastern Europe and Russia,9,"1,286","1,230",689,"1,417","2,924",
Central Eastern Europe and Russia,10,"1,587","1,429","1,445","1,519","3,637",
Central Eastern Europe and Russia,11,"1,991","8,273","1,187","2,406","4,000",
Central Eastern Europe and Russia,12,"1,282","1,629","1,218","1,744","5,852",
Indian Subcontinent,1,,"2,664",0,"4,074","2,985","8,128"
Indian Subcontinent,2,,"2,509",0,"1,531","3,836","5,089"
Indian Subcontinent,3,,"2,627",0,"2,395",251,"6,391"
Indian Subcontinent,4,,"1,077",0,"2,417",1,"3,734"
Indian Subcontinent,5,,"1,027",0,"1,647","1,138","3,769"
Indian Subcontinent,6,,885,0,"1,385","3,598","11,079"
Indian Subcontinent,7,"5,805","2,066",0,"1,940","2,502",
Indian Subcontinent,8,"14,080","5,241",0,"4,743","8,654",
Indian Subcontinent,9,"16,545","15,019",0,"4,585","5,184",
Indian Subcontinent,10,"17,495","15,718",0,"7,983","21,672",
Indian Subcontinent,11,"12,818","2,648",0,"4,051","8,154",
Indian Subcontinent,12,"9,999","1,078",0,"1,257","4,791",
LATAM,1,,"11,061",0,"14,172","6,185","8,391"
LATAM,2,,"11,354",0,"15,869","16,643","8,510"
