Mega Market,Posting Period,2016  Quantity,2017  Quantity,2018  Quantity,2019  Quantity,2020  Quantity,2021  PxQ Quantity,
APAC,1,,23026,20881,37470,22465,52384,
APAC,2,,21814,22065,26408,21734,49245,
APAC,3,,22512,22108,35677,27049,50267,
APAC,4,,27275,24193,33076,31953,54770,
APAC,5,,26827,36048,41930,39489,61259,
APAC,6,,18282,30289,39559,53309,74541,
APAC,7,24248,21485,26061,28007,64729,,
APAC,8,30814,26941,27560,25244,70658,,
APAC,9,36251,25360,29134,39166,56863,,
APAC,10,34983,25939,36144,33084,77584,,
APAC,11,39170,44246,49087,49489,90682,,
APAC,12,33888,38845,46107,50563,107164,,
Europe,1,,69448,31153,41766,39864,76908,
Europe,2,,42497,32212,39699,39866,70371,
Europe,3,,50357,53273,47930,38992,88255,
Europe,4,,56338,29535,50685,32396,91890,
Europe,5,,50672,27224,36579,44624,103798,
Europe,6,,41459,39327,36472,61205,130519,
Europe,7,28129,37388,29352,30805,56065,,
Europe,8,26711,38566,21922,29115,48284,,
Europe,9,31517,44268,21647,70389,90023,,
Europe,10,37503,60377,58412,121421,108622,,
Europe,11,42356,115438,72284,100119,104936,,
Europe,12,38623,92529,71174,71579,99233,,
Greater China,1,,25712,9102,18508,35639,35862,
Greater China,2,,23908,7961,10726,20289,13432,
Greater China,3,,19311,11340,26853,26121,16584,
Greater China,4,,23172,13327,20369,28437,22977,
Greater China,5,,32605,5199,33610,43826,15247,
Greater China,6,,24158,13256,17902,18132,20926,
Greater China,7,27544,18990,5911,12195,18199,,
Greater China,8,34285,11811,14665,11194,22428,,
Greater China,9,44457,31456,27926,25047,37626,,
Greater China,10,31886,28133,26446,19652,17371,,
Greater China,11,41974,12494,6114,44701,13488,,
Greater China,12,44753,10478,7047,40999,14450,,
Middle East Turkey and Africa,1,,22335,2270,36302,31984,43315,
Middle East Turkey and Africa,2,,31805,2663,64370,49971,60971,
Middle East Turkey and Africa,3,,33098,4582,24505,12067,42262,
Middle East Turkey and Africa,4,,25362,2450,11820,3539,15839,
Middle East Turkey and Africa,5,,25730,5726,9980,12540,25634,
Middle East Turkey and Africa,6,,10968,3967,23113,10251,33577,
Middle East Turkey and Africa,7,10749,12161,4078,11631,13297,,
Middle East Turkey and Africa,8,13599,13720,2644,43670,26274,,
Middle East Turkey and Africa,9,16249,21659,4639,38773,22370,,
Middle East Turkey and Africa,10,13146,12763,8730,11144,20600,,
Middle East Turkey and Africa,11,21587,14536,4454,17561,34240,,
Middle East Turkey and Africa,12,23758,27363,8219,23938,37002,,
Central Eastern Europe and Russia,1,,1233,491,990,1519,7588,
Central Eastern Europe and Russia,2,,1533,-1693,1339,1242,5760,
Central Eastern Europe and Russia,3,,1480,-574,2085,1962,5531,
Central Eastern Europe and Russia,4,,906,445,1109,1059,7301,
Central Eastern Europe and Russia,5,,762,941,774,1893,4610,
Central Eastern Europe and Russia,6,,904,412,1118,2334,8384,
Central Eastern Europe and Russia,7,765,923,441,1155,1442,,
Central Eastern Europe and Russia,8,857,1000,627,1616,1783,,
Central Eastern Europe and Russia,9,1286,1230,689,1417,2924,,
Central Eastern Europe and Russia,10,1587,1429,1445,1519,3637,,
Central Eastern Europe and Russia,11,1991,8273,1187,2406,4000,,
Central Eastern Europe and Russia,12,1282,1629,1218,1744,5852,,
Indian Subcontinent,1,,2664,0,4074,2985,8128,
Indian Subcontinent,2,,2509,0,1531,3836,5089,
Indian Subcontinent,3,,2627,0,2395,251,6391,
Indian Subcontinent,4,,1077,0,2417,1,3734,
Indian Subcontinent,5,,1027,0,1647,1138,3769,
Indian Subcontinent,6,,885,0,1385,3598,11079,
Indian Subcontinent,7,5805,2066,0,1940,2502,,
Indian Subcontinent,8,14080,5241,0,4743,8654,,
Indian Subcontinent,9,16545,15019,0,4585,5184,,
Indian Subcontinent,10,17495,15718,0,7983,21672,,
Indian Subcontinent,11,12818,2648,0,4051,8154,,
Indian Subcontinent,12,9999,1078,0,1257,4791,,
LATAM,1,,11061,0,14172,6185,8391,
LATAM,2,,11354,0,15869,16643,8510,
LATAM,3,,8216,0,20270,14419,22274,
LATAM,4,,19418,0,15435,5921,3894,
LATAM,5,,13467,0,20893,12370,15479,
LATAM,6,,13228,0,18230,25832,12435,
LATAM,7,6797,10088,0,5472,12280,,
LATAM,8,9262,15315,0,19757,18989,,
LATAM,9,11103,24618,0,14323,24761,,
LATAM,10,7918,4809,0,17945,16540,,
LATAM,11,9664,17286,0,12388,19451,,
LATAM,12,7854,14380,0,25112,18233,,
North America,1,,9946,0,10556,16176,7640,
North America,2,,11416,0,7261,8469,8388,
North America,3,,37370,0,10006,6569,5775,
North America,4,,5270,0,6406,7079,8374,
North America,5,,12955,0,34085,10240,6225,
North America,6,,11438,0,17537,17975,16362,
North America,7,14469,14495,0,5685,5716,,
North America,8,13553,10959,0,12262,7214,,
North America,9,16129,15403,0,8720,12074,,
North America,10,22376,19827,0,13648,9615,,
North America,11,34420,61717,0,22340,11912,,
North America,12,31180,54729,0,20899,11008,,
